Year,Annual Increase,Uncertainty
1959,0.94,0.11
1960,0.54,0.11
1961,0.95,0.11
1962,0.64,0.11
1963,0.71,0.11
1964,0.28,0.11
1965,1.02,0.11
1966,1.24,0.11
1967,0.74,0.11
1968,1.03,0.11
1969,1.31,0.11
1970,1.06,0.11
1971,0.85,0.11
1972,1.69,0.11
1973,1.22,0.11
1974,0.78,0.11
1975,1.13,0.11
1976,0.84,0.11
1977,2.10,0.11
1978,1.30,0.11
1979,1.75,0.11
1980,1.73,0.11
1981,1.43,0.11
1982,0.96,0.11
1983,2.13,0.11
1984,1.36,0.11
1985,1.25,0.11
1986,1.48,0.11
1987,2.29,0.11
1988,2.13,0.11
1989,1.32,0.11
1990,1.19,0.11
1991,0.99,0.11
1992,0.48,0.11
1993,1.40,0.11
1994,1.91,0.11
1995,1.99,0.11
1996,1.25,0.11
1997,1.91,0.11
1998,2.93,0.11
1999,0.93,0.11
2000,1.62,0.11
2001,1.58,0.11
2002,2.53,0.11
2003,2.29,0.11
2004,1.56,0.11
2005,2.52,0.11
2006,1.76,0.11
2007,2.22,0.11
2008,1.60,0.11
2009,1.89,0.11
2010,2.42,0.11
2011,1.88,0.11
2012,2.61,0.11
2013,2.10,0.11
2014,2.18,0.11
2015,3.05,0.11
