Date,Decimal Date,Average,Interpolated,Trend,Number of Days
1958-03,1958.208,315.71,315.71,314.62,-1
1958-04,1958.292,317.45,317.45,315.29,-1
1958-05,1958.375,317.50,317.50,314.71,-1
1958-06,1958.458,-99.99,317.10,314.85,-1
1958-07,1958.542,315.86,315.86,314.98,-1
1958-08,1958.625,314.93,314.93,315.94,-1
1958-09,1958.708,313.20,313.20,315.91,-1
1958-10,1958.792,-99.99,312.66,315.61,-1
1958-11,1958.875,313.33,313.33,315.31,-1
1958-12,1958.958,314.67,314.67,315.61,-1
1959-01,1959.042,315.62,315.62,315.70,-1
1959-02,1959.125,316.38,316.38,315.88,-1
1959-03,1959.208,316.71,316.71,315.62,-1
1959-04,1959.292,317.72,317.72,315.56,-1
1959-05,1959.375,318.29,318.29,315.50,-1
1959-06,1959.458,318.15,318.15,315.92,-1
1959-07,1959.542,316.54,316.54,315.66,-1
1959-08,1959.625,314.80,314.80,315.81,-1
1959-09,1959.708,313.84,313.84,316.55,-1
1959-10,1959.792,313.26,313.26,316.19,-1
1959-11,1959.875,314.80,314.80,316.78,-1
1959-12,1959.958,315.58,315.58,316.52,-1
1960-01,1960.042,316.43,316.43,316.51,-1
1960-02,1960.125,316.97,316.97,316.47,-1
1960-03,1960.208,317.58,317.58,316.49,-1
1960-04,1960.292,319.02,319.02,316.86,-1
1960-05,1960.375,320.03,320.03,317.24,-1
1960-06,1960.458,319.59,319.59,317.36,-1
1960-07,1960.542,318.18,318.18,317.30,-1
1960-08,1960.625,315.91,315.91,316.92,-1
1960-09,1960.708,314.16,314.16,316.87,-1
1960-10,1960.792,313.83,313.83,316.76,-1
1960-11,1960.875,315.00,315.00,316.98,-1
1960-12,1960.958,316.19,316.19,317.13,-1
1961-01,1961.042,316.93,316.93,317.03,-1
1961-02,1961.125,317.70,317.70,317.28,-1
1961-03,1961.208,318.54,318.54,317.47,-1
1961-04,1961.292,319.48,319.48,317.27,-1
1961-05,1961.375,320.58,320.58,317.70,-1
1961-06,1961.458,319.77,319.77,317.48,-1
1961-07,1961.542,318.57,318.57,317.70,-1
1961-08,1961.625,316.79,316.79,317.80,-1
1961-09,1961.708,314.80,314.80,317.49,-1
1961-10,1961.792,315.38,315.38,318.35,-1
1961-11,1961.875,316.10,316.10,318.13,-1
1961-12,1961.958,317.01,317.01,317.94,-1
1962-01,1962.042,317.94,317.94,318.06,-1
1962-02,1962.125,318.56,318.56,318.11,-1
1962-03,1962.208,319.68,319.68,318.57,-1
1962-04,1962.292,320.63,320.63,318.45,-1
1962-05,1962.375,321.01,321.01,318.20,-1
1962-06,1962.458,320.55,320.55,318.27,-1
1962-07,1962.542,319.58,319.58,318.67,-1
1962-08,1962.625,317.40,317.40,318.48,-1
1962-09,1962.708,316.26,316.26,319.03,-1
1962-10,1962.792,315.42,315.42,318.33,-1
1962-11,1962.875,316.69,316.69,318.62,-1
1962-12,1962.958,317.69,317.69,318.61,-1
1963-01,1963.042,318.74,318.74,318.91,-1
1963-02,1963.125,319.08,319.08,318.68,-1
1963-03,1963.208,319.86,319.86,318.69,-1
1963-04,1963.292,321.39,321.39,319.09,-1
1963-05,1963.375,322.25,322.25,319.39,-1
1963-06,1963.458,321.47,321.47,319.16,-1
1963-07,1963.542,319.74,319.74,318.77,-1
1963-08,1963.625,317.77,317.77,318.83,-1
1963-09,1963.708,316.21,316.21,319.06,-1
1963-10,1963.792,315.99,315.99,319.00,-1
1963-11,1963.875,317.12,317.12,319.10,-1
1963-12,1963.958,318.31,318.31,319.25,-1
1964-01,1964.042,319.57,319.57,319.67,-1
1964-02,1964.125,-99.99,320.07,319.61,-1
1964-03,1964.208,-99.99,320.73,319.55,-1
1964-04,1964.292,-99.99,321.77,319.48,-1
1964-05,1964.375,322.25,322.25,319.42,-1
1964-06,1964.458,321.89,321.89,319.69,-1
1964-07,1964.542,320.44,320.44,319.58,-1
1964-08,1964.625,318.70,318.70,319.81,-1
1964-09,1964.708,316.70,316.70,319.56,-1
1964-10,1964.792,316.79,316.79,319.78,-1
1964-11,1964.875,317.79,317.79,319.72,-1
1964-12,1964.958,318.71,318.71,319.59,-1
1965-01,1965.042,319.44,319.44,319.48,-1
1965-02,1965.125,320.44,320.44,319.97,-1
1965-03,1965.208,320.89,320.89,319.65,-1
1965-04,1965.292,322.13,322.13,319.80,-1
1965-05,1965.375,322.16,322.16,319.36,-1
1965-06,1965.458,321.87,321.87,319.65,-1
1965-07,1965.542,321.39,321.39,320.51,-1
1965-08,1965.625,318.81,318.81,319.93,-1
1965-09,1965.708,317.81,317.81,320.68,-1
1965-10,1965.792,317.30,317.30,320.36,-1
1965-11,1965.875,318.87,318.87,320.87,-1
1965-12,1965.958,319.42,319.42,320.26,-1
1966-01,1966.042,320.62,320.62,320.63,-1
1966-02,1966.125,321.59,321.59,321.10,-1
1966-03,1966.208,322.39,322.39,321.16,-1
1966-04,1966.292,323.87,323.87,321.51,-1
1966-05,1966.375,324.01,324.01,321.18,-1
1966-06,1966.458,323.75,323.75,321.52,-1
1966-07,1966.542,322.39,322.39,321.49,-1
1966-08,1966.625,320.37,320.37,321.50,-1
1966-09,1966.708,318.64,318.64,321.54,-1
1966-10,1966.792,318.10,318.10,321.18,-1
1966-11,1966.875,319.79,319.79,321.84,-1
1966-12,1966.958,321.08,321.08,321.95,-1
1967-01,1967.042,322.07,322.07,322.07,-1
1967-02,1967.125,322.50,322.50,321.94,-1
1967-03,1967.208,323.04,323.04,321.72,-1
1967-04,1967.292,324.42,324.42,322.05,-1
1967-05,1967.375,325.00,325.00,322.27,-1
1967-06,1967.458,324.09,324.09,321.94,-1
1967-07,1967.542,322.55,322.55,321.66,-1
1967-08,1967.625,320.92,320.92,322.04,-1
1967-09,1967.708,319.31,319.31,322.19,-1
1967-10,1967.792,319.31,319.31,322.36,-1
1967-11,1967.875,320.72,320.72,322.78,-1
1967-12,1967.958,321.96,321.96,322.86,-1
1968-01,1968.042,322.57,322.57,322.55,-1
1968-02,1968.125,323.15,323.15,322.56,-1
1968-03,1968.208,323.89,323.89,322.59,-1
1968-04,1968.292,325.02,325.02,322.73,-1
1968-05,1968.375,325.57,325.57,322.87,-1
1968-06,1968.458,325.36,325.36,323.20,-1
1968-07,1968.542,324.14,324.14,323.25,-1
1968-08,1968.625,322.03,322.03,323.15,-1
1968-09,1968.708,320.41,320.41,323.31,-1
1968-10,1968.792,320.25,320.25,323.32,-1
1968-11,1968.875,321.31,321.31,323.32,-1
1968-12,1968.958,322.84,322.84,323.69,-1
1969-01,1969.042,324.00,324.00,323.98,-1
1969-02,1969.125,324.42,324.42,323.89,-1
1969-03,1969.208,325.64,325.64,324.41,-1
1969-04,1969.292,326.66,326.66,324.35,-1
1969-05,1969.375,327.34,327.34,324.57,-1
1969-06,1969.458,326.76,326.76,324.63,-1
1969-07,1969.542,325.88,325.88,325.08,-1
1969-08,1969.625,323.67,323.67,324.80,-1
1969-09,1969.708,322.38,322.38,325.28,-1
1969-10,1969.792,321.78,321.78,324.84,-1
1969-11,1969.875,322.85,322.85,324.78,-1
1969-12,1969.958,324.11,324.11,324.88,-1
1970-01,1970.042,325.03,325.03,325.04,-1
1970-02,1970.125,325.99,325.99,325.42,-1
1970-03,1970.208,326.87,326.87,325.69,-1
1970-04,1970.292,328.13,328.13,325.86,-1
1970-05,1970.375,328.07,328.07,325.27,-1
1970-06,1970.458,327.66,327.66,325.52,-1
1970-07,1970.542,326.35,326.35,325.51,-1
1970-08,1970.625,324.69,324.69,325.76,-1
1970-09,1970.708,323.10,323.10,325.93,-1
1970-10,1970.792,323.16,323.16,326.15,-1
1970-11,1970.875,323.98,323.98,325.96,-1
1970-12,1970.958,325.13,325.13,326.06,-1
1971-01,1971.042,326.17,326.17,326.26,-1
1971-02,1971.125,326.68,326.68,326.09,-1
1971-03,1971.208,327.18,327.18,325.94,-1
1971-04,1971.292,327.78,327.78,325.47,-1
1971-05,1971.375,328.92,328.92,326.10,-1
1971-06,1971.458,328.57,328.57,326.41,-1
1971-07,1971.542,327.34,327.34,326.46,-1
1971-08,1971.625,325.46,325.46,326.49,-1
