Year,Mean,Uncertainty
1980,338.80,0.10
1981,339.99,0.10
1982,340.76,0.10
1983,342.44,0.10
1984,343.98,0.10
1985,345.46,0.10
1986,346.88,0.10
1987,348.61,0.10
1988,351.14,0.10
1989,352.79,0.10
1990,353.96,0.10
1991,355.29,0.10
1992,355.99,0.10
1993,356.71,0.10
1994,358.20,0.10
1995,360.02,0.10
1996,361.79,0.10
1997,362.90,0.10
1998,365.55,0.10
1999,367.63,0.10
2000,368.81,0.10
2001,370.41,0.10
2002,372.42,0.10
2003,374.96,0.10
2004,376.78,0.10
2005,378.81,0.10
2006,380.93,0.10
2007,382.67,0.10
2008,384.78,0.10
2009,386.28,0.10
2010,388.56,0.10
2011,390.44,0.10
2012,392.45,0.10
2013,395.19,0.10
2014,397.12,0.10
2015,399.41,0.10
